GeneID	Base mean	log2(FC)	StdErr	WalkdStat	P-Value	P-adj
MSTRG.122.1	90712.9733956165	3.2177909552801	0.067494065578656	47.6751685898987	0	0
MSTRG.32.1	14959.5753896339	2.86558562971424	0.103339279420288	27.7298781817482	3.04716188988661e-169	1.95018360952743e-167
MSTRG.8.1	105474.290148628	-2.01776889726111	0.0925335850963676	-21.805800511887	2.04399715481644e-105	8.72105452721679e-104
MSTRG.33.1	55215.5548860244	-1.75101647087887	0.0889089033295109	-19.6945008351899	2.40354292731046e-86	7.69133736739347e-85
MSTRG.121.1	9463.62297652966	1.34842046826911	0.0757304575251713	17.805523858362	6.4030334919394e-71	1.63917657393649e-69
MSTRG.120.1	4923.98453090966	1.3204362106824	0.0942050652269282	14.0166158528911	1.23358249111801e-44	2.63164264771842e-43
MSTRG.119.1	161373.904719163	1.05746122031749	0.0792868248792874	13.3371619046097	1.40715424282199e-40	2.57308204401735e-39
MSTRG.130.1	6260.48989504059	-1.17899145609322	0.0945089678624659	-12.4749162196856	1.02313758014762e-35	1.6370201282362e-34
MSTRG.131.1	55628.1973192544	-0.915230538891277	0.0837290860482854	-10.9308554779097	8.20710203726613e-28	1.16723228974452e-26
MSTRG.129.1	39174.578448829	-0.809893526749382	0.0784606202269864	-10.3222932014348	5.58724831716282e-25	7.1516778459684e-24
MSTRG.112.1	6184.30036592333	2.05905656681853	0.203081748563881	10.1390527774131	3.7067631787122e-24	4.31332442613784e-23
MSTRG.124.1	6761.06501743599	-0.873427781605287	0.0924332578597751	-9.44928050605239	3.41167669499283e-21	3.63912180799235e-20
MSTRG.41.1	22653.6071994382	0.772406284032699	0.117105381913297	6.59582225353721	4.22905357241267e-11	4.16399120976016e-10
MSTRG.34.1	2850.23557776735	-0.789953921609533	0.139936772231278	-5.64507748044917	1.65106875448494e-08	1.50954857552909e-07
MSTRG.28.1	224.539699883806	-1.2556385661184	0.223717754923382	-5.61260131789017	1.993074403109e-08	1.70075682398634e-07
MSTRG.133.1	2518.01715326452	0.514713162844235	0.0964438782571767	5.33691896412237	9.45392662749595e-08	7.56314130199676e-07
MSTRG.6.1	6586.85629857183	-0.757229762607244	0.15128713315966	-5.00524893817709	5.57898842060906e-07	4.20065010492918e-06
MSTRG.53.1	12254.355659749	-0.291056354697617	0.0619815030018347	-4.69585828999663	2.65489559302637e-06	1.88792575504098e-05
MSTRG.134.1	112.00074150705	-0.946111176118168	0.209377690648749	-4.5186818766922	6.22258074603658e-06	4.19205439732991e-05
MSTRG.100.1	32315.4610397496	0.327394268015886	0.0729045956597433	4.4907219504225	7.0982164402975e-06	4.5428585217904e-05
MSTRG.95.1	72552.2022386616	0.303465255032364	0.0714450786578246	4.24753196067941	2.16138339066429e-05	0.000131741463811919
MSTRG.29.1	1653.22823146336	-0.527532966117219	0.130587209904104	-4.03969857771378	5.35199382632956e-05	0.00031138873171372
MSTRG.78.1	1146.82931940445	0.415976071934641	0.117211522416168	3.54893497976835	0.000386792575761657	0.00215258476945618
MSTRG.19.1	23774.6364803119	-0.2516857215167	0.0717847088268177	-3.50611886054867	0.000454692121941066	0.00242502465035235
MSTRG.30.1	2299.94214069023	0.593833359622551	0.173146861812456	3.429651299518	0.000604357383323823	0.00309430980261798
MSTRG.104.1	6807.87283498788	0.354763225857038	0.111836031377979	3.17217288101026	0.00151302907361968	0.0074487585162815
MSTRG.20.1	1741.50695399542	0.332811755334691	0.10707929591738	3.10808688536278	0.00188302700105452	0.00892694281981402
MSTRG.77.1	25120.2849813088	-0.677938567138079	0.244223226556019	-2.77589718512123	0.00550496138270157	0.0251655377494929
MSTRG.14.1	960.354661901948	0.28604706329823	0.105642725084026	2.70768349709566	0.00677546035684671	0.0299054801957372
MSTRG.73.1	154442.111607275	0.335110549182967	0.126822347351675	2.64236198257485	0.00823300124899949	0.0351274719957311
MSTRG.89.2	1720.01517251715	-0.207715182122475	0.0797211386486553	-2.60552201892037	0.00917343771165252	0.0378774202287588
MSTRG.21.1	229634.297786014	-0.2285083599921	0.0898775095605086	-2.54244205374049	0.0110080852408669	0.0440323409634676
MSTRG.97.1	449.727102790797	0.32296912597681	0.127938520261735	2.52440879663203	0.0115893072611497	0.0449524645280959
MSTRG.68.1	48979.1609165897	-0.274428839692793	0.113392103697707	-2.42017592710332	0.0155129998790251	0.0584018818975064
MSTRG.76.1	360.36614841205	0.615645239505987	0.257180567327637	2.39382487527403	0.0166737077542167	0.0609781312154212
MSTRG.51.1	567.90289521082	0.251466866162594	0.113129626733819	2.22282061227221	0.0262278986132	0.0907343519591784
MSTRG.118.1	2326.79250782307	0.228654565060783	0.102456539789498	2.23172249941844	0.0256333092595737	0.0907343519591784
MSTRG.127.1	254.475359327282	0.333448058921695	0.151594486524175	2.19960545114231	0.0278349000989878	0.0937596634913272
MSTRG.72.2	26.6878371482966	0.844336883997837	0.402819263194603	2.09606878604	0.0360760894768647	0.118403575718941
MSTRG.10.7	11.2418726471066	0.948408580849611	0.457644338610463	2.07237039953176	0.0382309116565935	0.122338917301099
MSTRG.23.1	2849.93597166806	0.217660249272031	0.105858827608044	2.05613697213752	0.0397693154028329	0.124157862721039
MSTRG.46.1	8340.17021070248	0.195393798138728	0.0970134298880446	2.01409019724605	0.0440000645332099	0.124225993751126
MSTRG.62.1	59383.6150907096	0.12861927922528	0.0638950497712226	2.01297721319262	0.0441170266199806	0.124225993751126
MSTRG.71.1	53135.49294672	0.22468769552694	0.111488440574855	2.01534521757062	0.0438684901722798	0.124225993751126
MSTRG.122.2	45.6372721473983	0.924002807040967	0.460161676649719	2.0079960021189	0.0446437165043109	0.124225993751126
MSTRG.123.3	167830.967015578	-0.253246204240958	0.12411814524728	-2.04036407196078	0.0413140775643106	0.124225993751126
MSTRG.5.1	7345.21144107492	-0.338976270968914	0.172350151895621	-1.96678835057949	0.0492076161549627	0.134012231230537
MSTRG.67.1	17780.4268543282	-0.11172515049765	0.059519804503999	-1.87710882837567	0.060503179657882	0.161341812421019
MSTRG.86.1	2032.23625281709	-0.180987619818348	0.0977004651759225	-1.85247449428676	0.0639577168047813	0.167073219408408
MSTRG.98.1	28011.4814208795	0.190089337368117	0.104021502650923	1.82740426280922	0.0676390088872005	0.173155862751233
MSTRG.74.1	49802.9657884384	-0.148159529762156	0.0823941222245838	-1.7981808138973	0.0721483589475483	0.181078234221298
MSTRG.90.1	106552.97692327	-0.178960775023878	0.100219767305979	-1.78568340193304	0.0741505343210457	0.182524392174882
MSTRG.89.1	41692.0057971416	-0.126208095868622	0.0710872675075976	-1.77539663984318	0.0758324184460669	0.183142444548992
MSTRG.81.1	90947.0554500893	-0.244130026984029	0.139069920599801	-1.75544809352813	0.0791826918359599	0.186651509481996
MSTRG.115.1	40536.1881152633	-0.100366517006263	0.0573681532695814	-1.74951626095799	0.080201820480545	0.186651509481996
MSTRG.83.1	243.672439860708	-0.291243136221561	0.169554282176133	-1.71769850034821	0.0858516230482444	0.19623228125313
MSTRG.111.1	33088.8968623919	-0.163559435506967	0.0973078115670604	-1.68084589379805	0.0927928516982102	0.208376930129314
MSTRG.35.1	428.216462200946	-0.226496382429705	0.136666727333627	-1.65728986746561	0.0974608848732252	0.21144056379276
MSTRG.52.1	11276.8908401479	-0.251578295784065	0.151463729017983	-1.66098046981396	0.0967173691971004	0.21144056379276
MSTRG.84.1	22722.7327080174	-0.213139576529483	0.129418146570651	-1.64690642060098	0.0995772819867695	0.212431534905108
MSTRG.96.1	3072.93357578739	0.124804834552824	0.0763031746090116	1.63564406320368	0.101914102733347	0.213852543440465
MSTRG.10.9	7.93820938336782	0.861680113447106	0.541820933898278	1.59034112478363	0.111757933493266	0.230726056244163
MSTRG.38.1	409.961163067484	0.243537663622997	0.162138137002072	1.50203812703167	0.133087262471726	0.266884991676841
MSTRG.69.1	10979.6013113722	-0.157260476359817	0.104793930690553	-1.50066397284203	0.133442495838421	0.266884991676841
MSTRG.37.1	824.38238660644	0.213971188867349	0.145085099983711	1.47479781791081	0.140266908064295	0.276217911265074
MSTRG.1.1	1.56877366322352	-0.783349845591821	0.542440750759545	-1.44412056891918	0.148705063130458	0.288397698192404
MSTRG.82.1	43167.5907530727	-0.147146472868939	0.103784236855689	-1.4178113876151	0.156245838588409	0.29849951252711
MSTRG.107.1	48860.3070360789	-0.0942117541128423	0.0673335448652856	-1.39918007140916	0.161758991076661	0.304487512614891
MSTRG.75.1	311.441494465289	0.227353788375355	0.168361092287314	1.35039387833959	0.176889673425329	0.328143162296263
MSTRG.106.1	77262.976492736	0.0769873593528233	0.0596445614299231	1.29076914151303	0.196783741174338	0.355521691537942
MSTRG.126.1	2598.41220302079	0.115155353079666	0.0892981672474999	1.28956009545527	0.197203438274952	0.355521691537942
MSTRG.47.1	183992.98886508	-0.110826635337536	0.0895223176497357	-1.23797772719822	0.215724319522714	0.383509901373714
